0,260,178
0,261,197
0,264,215
0,268,233
0,274,250
0,283,264
0,296,276
0,312,284
0,330,286
0,349,283
0,365,275
0,378,263
0,387,247
0,393,230
0,396,211
0,398,194
0,398,176
0,271,164
0,276,150
0,288,142
0,303,141
0,316,146
0,339,146
0,352,141
0,367,141
0,379,149
0,386,162
0,327,162
0,327,176
0,327,189
0,328,203
0,315,212
0,321,215
0,329,217
0,336,215
0,343,212
0,287,169
0,293,163
0,303,163
0,311,169
0,303,171
0,294,172
0,345,168
0,353,162
0,362,162
0,369,168
0,362,170
0,353,170
0,306,238
0,316,233
0,323,231
0,330,232
0,336,231
0,344,232
0,353,236
0,345,241
0,337,244
0,331,245
0,324,245
0,316,243
0,310,237
0,324,235
0,330,236
0,337,235
0,350,235
0,337,237
0,330,238
0,324,238
1,260,178
1,261,196
1,263,215
1,267,233
1,273,250
1,282,264
1,295,276
1,311,284
1,329,287
1,347,284
1,363,276
1,377,265
1,386,249
1,393,231
1,396,212
1,397,194
1,398,176
1,271,162
1,277,149
1,289,141
1,303,141
1,316,146
1,340,145
1,353,140
1,366,140
1,379,148
1,385,161
1,328,162
1,328,176
1,328,190
1,328,204
1,315,213
1,322,216
1,329,218
1,336,215
1,343,213
1,287,169
1,294,163
1,303,162
1,312,169
1,303,171
1,294,172
1,346,169
1,354,162
1,363,162
1,370,168
1,363,171
1,354,171
1,306,238
1,315,234
1,323,232
1,330,233
1,336,231
1,344,233
1,353,236
1,345,241
1,337,243
1,330,244
1,323,244
1,315,242
1,309,237
1,323,235
1,330,236
1,336,235
1,350,236
1,336,237
1,330,238
1,323,238
2,259,179
2,261,197
2,264,215
2,266,234
2,272,251
2,282,266
2,295,277
2,312,286
2,330,288
2,349,286
2,366,277
2,379,265
2,389,249
2,395,231
2,397,212
2,398,194
2,399,176
2,271,165
2,275,150
2,288,141
2,303,140
2,316,146
2,339,146
2,352,141
2,366,141
2,379,148
2,386,162
2,327,162
2,327,175
2,328,189
2,328,202
2,315,213
2,322,216
2,329,218
2,336,215
2,343,212
2,286,170
2,293,163
2,303,163
2,311,169
2,303,172
2,293,172
2,345,169
2,354,163
2,363,163
2,370,169
2,363,171
2,354,171
2,306,238
2,316,234
2,324,231
2,330,232
2,336,231
2,344,232
2,354,237
2,345,242
2,337,244
2,330,244
2,324,245
2,316,243
2,309,237
2,324,236
2,330,236
2,337,235
2,350,236
2,337,237
2,330,238
2,324,238
3,258,174
3,260,192
3,263,209
3,267,227
3,274,243
3,284,257
3,297,268
3,312,277
3,330,280
3,348,278
3,364,269
3,378,257
3,388,242
3,394,225
3,397,206
3,398,188
3,399,169
3,270,164
3,276,150
3,288,142
3,303,141
3,317,147
3,338,146
3,351,140
3,365,140
3,379,147
3,385,161
3,328,164
3,328,177
3,328,190
3,328,203
3,315,212
3,321,215
3,329,217
3,337,214
3,344,212
3,287,171
3,295,166
3,304,165
3,312,171
3,304,173
3,295,174
3,346,170
3,354,165
3,363,165
3,370,169
3,363,172
3,354,172
3,306,237
3,315,232
3,323,230
3,330,230
3,336,229
3,344,231
3,354,235
3,345,241
3,337,244
3,331,245
3,324,245
3,316,242
3,310,237
3,323,234
3,330,235
3,336,234
3,350,235
3,337,237
3,330,238
3,324,237
4,258,174
4,260,192
4,263,210
4,267,227
4,274,243
4,284,257
4,296,269
4,312,278
4,329,281
4,348,279
4,364,271
4,377,259
4,388,244
4,394,227
4,397,209
4,399,191
4,399,172
4,270,164
4,276,150
4,289,142
4,304,141
4,317,146
4,339,146
4,352,141
4,366,141
4,380,149
4,386,163
4,328,164
4,328,177
4,327,190
4,327,203
4,314,212
4,321,215
4,329,217
4,336,215
4,344,212
4,288,170
4,295,166
4,304,165
4,312,170
4,304,172
4,295,173
4,346,171
4,355,166
4,363,166
4,370,170
4,363,173
4,354,172
4,306,236
4,315,232
4,323,229
4,330,231
4,336,229
4,344,231
4,354,235
4,345,242
4,337,245
4,330,245
4,323,245
4,315,242
4,310,236
4,323,233
4,330,234
4,336,233
4,350,235
4,336,238
4,330,239
4,323,238
5,259,176
5,260,194
5,263,211
5,266,229
5,272,246
5,281,261
5,294,273
5,309,283
5,329,286
5,348,284
5,365,275
5,379,262
5,389,246
5,395,228
